"postal_code","town","lease_commenced"
"631992","JURONG WEST",NULL
"530910","HOUGANG","1997-11-01"
"160107","BUKIT MERAH","1970-01-01"
"736690","WOODLANDS","2004-01-01"
"640933","JURONG WEST","1988-01-01"
"140183","QUEENSTOWN","2000-11-01"
"643654","JURONG WEST","2002-09-01"
"752469","SEMBAWANG","2001-08-01"
"760150","YISHUN","1985-03-01"
"524605","TAMPINES",NULL
"153075","BUKIT MERAH","2007-01-01"
"550507","SERANGOON","1997-05-01"
"791448","SENGKANG","2014-07-01"
"642649","JURONG WEST","2001-04-01"
"140129","QUEENSTOWN","1996-08-01"
"160109","BUKIT MERAH","1984-07-01"
"640913","JURONG WEST","1988-04-01"
"640923","JURONG WEST","1989-01-01"
"640942","JURONG WEST","1989-08-01"
"640941","JURONG WEST","1989-04-01"
"640943","JURONG WEST","1989-06-01"
"371076","GEYLANG",NULL
"640931","JURONG WEST","1988-07-01"
"641655","JURONG WEST","2002-10-01"
"640925","JURONG WEST","1988-10-01"
"642655","JURONG WEST","2002-10-01"
"520157","TAMPINES","1989-03-01"
"640938","JURONG WEST","1989-06-01"
"681819","CHOA CHU KANG",NULL
"644648","JURONG WEST","2001-04-01"
"642987","JURONG WEST","2008-08-01"
"640928","JURONG WEST","1988-10-01"
"642986","JURONG WEST","2008-08-01"
"321026","KALLANG/WHAMPOA",NULL
"260008","BUKIT TIMAH","1976-04-01"
"640940","JURONG WEST","1989-05-01"
"640980","JURONG WEST","1989-07-01"
"680162","CHOA CHU KANG","1998-02-01"
"641652","JURONG WEST","2002-05-01"
"640905","JURONG WEST","1988-08-01"
"691235","TENGAH",NULL
"640909","JURONG WEST","1989-01-01"
"100050","BUKIT MERAH","1978-07-01"
"160020","BUKIT MERAH","1971-01-01"
"640944","JURONG WEST","1989-04-01"
"644987","JURONG WEST","2006-05-01"
"160116","BUKIT MERAH",NULL
"641656","JURONG WEST","2002-03-01"
"640706","JURONG WEST","1995-07-01"
"640947","JURONG WEST","1989-04-01"
"641988","JURONG WEST","2008-08-01"
"642656","JURONG WEST","2001-07-01"
"371075","GEYLANG",NULL
"643656","JURONG WEST","2001-07-01"
"640637","JURONG WEST","2004-04-01"
"682820","CHOA CHU KANG",NULL
"641989","JURONG WEST","2008-08-01"
"642653","JURONG WEST","2002-10-01"
"640712","JURONG WEST","1991-02-01"
